The Stormlight Archives,Brandon Sanderson,184,"christiankeeney, dawnbot, crokus_n_al, Anderson_Dawes, Eldrene_Ay_Ellan, 00dani3l, StrangerInAlps, farstrid3r, ricree, timetwister, master6494, onrack, illyriaya, Woahno, DivisionMatrix, wanemarr, Vatsdimri, StarlightEstel, SaltyBoyM, JackYAqua, WombatHats, Fox9933, Mattyes, CapNitro, js52000, Abelincononabear, Sidion101, FleeetKeptRunning, lmason115, Manlir, hubushnubah, Tur4, SceptileTheReptile, Titan_Arum, LordOfSwords, hajakuja, TheSecondBest, aboyplayingdota, andypeloquin, Nihilistic_Avocado, WitsDumbLuck, Kikanolo, Fimus86, cpt_pancreas, DreamweaveMirar, Authentic-Albion, thebigredblob, play_the_puck, Stonelegs, lordfarkle, jljackson2, odd2002night, AmoronDonkeyballs, AngelDeath2, Jormunglycon, Extore, speakerforthe, derivative_of_life, Fuck-Moash, UncleObli, infinitylady89, Redagain_xinc, X_Ravenfire, evilshindig, JATION, Lagerbottoms, Nersevan, deadkeepteaching, Aetiusx, mygoldenfeces, jessyi24, erai91, Vinxii, nauhel, Nighteyes89, Scyther99, Son_of_Winterfell, Ashen_Heart, Asheweaver, ParanoidAndroid09, _0_-o--__-0O_--oO0__, misterjinx878, ACardAttack, RamboTarzann, Karaeth, theEolian, mangle89, green_name, xland44, IrnBruFiend, MusubiKazesaru, struttersix, zagon2, lazyear, Hurinfan, sedirep, xmaster001, ReadingNPlaying, KKalonick, Saalfin, uhohmomspaghetti, TheStig136, Cr1spy10, peyton_manhead, OKINGPAC, Raestagg, avfc_66, StrawbIchigo, Barristan_the_Old, No_Serenity, TaborlintheGreat322, acexacid, BLNelson, JMLP23, Redlilymc, Helli784, Destynie, baderl0ck, jalucard, Jierda175, LordKatakuri, tobias33, happypolychaetes, illkraz, tst619, marethyu316, ObiShaunKenobi, ABAB0008, Adrason, iamteehee2, Skyrider006, mysterymachine08, GarbagePailKid90, SHWiMM, jbatchen, Grayriser, bookfly, Dakob, Keriew, Mike-Dane, tkinsey3, Corey_Actor, cornpenguin01, DalinarUnited, ehudsdagger, AManHasN0UserName, MFanjos, Salaris, thewhitewoof, CertifiedMentat, duckorgies, Istarial, Lightylantern, ASIC_SP, DreaMorpheuSandman, Kayzels, StrizzyMizzy, Shompta, MLKdidnothingwrong, theelbandito, KristinnK, mistymountainz, ParanoidQ, Dr_Dangles, misssim1, FrankieFatHands, The_Octonion, StudentofGab, soccerllama, WeDoNotSow, jship23, celebrimbor2, threeolives, Digger412, swaindrous, HellaSober, SpherrY, Emospence, dogfoodtears, KingKillerKvvothe, felinor12, LordofMoonsSpawn, andrewssousa, ASIC_SP, "
Middle-Earth Universe,J.R.R. Tolkien,177,"christiankeeney, beldaran1224, dawnbot, navilo, BoneslyGrifter, farstrid3r, ricree, chelsea_hotel7316, mattstodon53, timetwister, gfe98, Woahno, wanemarr, DonMaitz, ammorris22, Cubs017, Vatsdimri, StarlightEstel, Pufforrohk, tonystank21, DimwitAlmighty, MediocreLimo, Abelincononabear, Olorin314, hubushnubah, superdragonboyangel, Reasonable_Regret, Auberron, spinachdumpling, TheSecondBest, labchambers, aboyplayingdota, Akill0816, tarvolon, Nihilistic_Avocado, Kikanolo, peleles, Fearful_Leader, MistressBedlam, MedusasRockGarden, cpt_pancreas, HypatiaRising, Asimov_800, zolak, jjackson2, sleazemore, Extore, UncleObli, Redbirdfromtheeast, GeorgeMacDonald, Lagerbottoms, D3athRider, TheR2P2, Aetiusx, TheBunkDontSwim1983, jessyi24, erai91, Vinxii, nauhel, skavinger5882, Nighteyes89, LOSkills333, Son_of_Winterfell, SeiShonagon, _0_-o--__-0O_--oO0__, misterjinx878, JimRJapan, RamboTarzann, haaplo, theEolian, mangle89, green_name, josephdanielauthor, MusubiKazesaru, JamesLatimer, spikyturtle87, lazyear, Hurinfan, sedirep, KKalonick, Saalfin, goofy_mcgee, Talas_Engineer, TheStig136, xLuthienx, ullsi, Szarka22, EmpressRey, PeaceFroger229, pyhnux, Jos_V, steppenfloyd, boc1892, Barristan_the_Old, No_Serenity, Evangelon422, WereTiggy, Redlilymc, Helli784, Destynie, pbannard, anna_k_s, wots77, happypolychaetes, Herz_Frequency, LoniBana, tst619, confusionsteephands, marethyu316, Rudyralishaz, iceman012, kaahr, howdy_im_jon, BohemianPeasant, GreenSkyDragon, Shompta, MLKdidnothingwrong, KristinnK, mistymountainz, Dr_Dangles, Eladir, SmallFruitBat, RevolutionaryCommand, FrankieFatHands, Severian_of_Nessus, PvogonJ, soccerllama, InexplicableMagic, jship23, celebrimbor2, tealparadise, CHMonster, swaindrous, KeepCalmAndHodorOn, mrsmoo, Strider9122, TangledPellicles, Emospence, felinor12, LordofMoonsSpawn, briargrey, Adrason, TRAIANVS, randomcsplayer, duckorgies, Bills25, Keriew, Idunn12380, MrPeat, tkinsey3, Grayriser, smittyphi, rattatally, 4raer, sailorfish27, valgranaire, Kayzels, Corey_Actor,dwmmerick, ajp1195, Mike-Dane, AManHasN0UserName, Angus_McFife13, Tifimoof, ManicCetra, Skyrider006, MarkLawrence, ehudsdagger, alchemie, jymspaul, gufguf, keshanu, meltedtoast, CZero13, Felisin_Paran, roninsb, SHWiMM, "
A Song of Ice and Fire,George R.R. Martin,175,"christiankeeney, Anderson_Dawes, navilo, BoneslyGrifter, StrangerInAlps, chelsea_hotel7316, master6494, mattstodon53, onrack, 00dani3l, gfe98, Woahno, ammorris22, PotatoQuie, Vatsdimri, WombatHats, tonystank21, will_e_wonka, Esa1996, MediocreLimo, js52000, Abelincononabear, Olorin314, lmason115, hubushnubah, superdragonboyangel, XenRivers, RobBobGlove, SceptileTheReptile, sarric, AccipiterF1, Auberron, spinachdumpling, LordOfSwords, hajakuja, TheSecondBest, Akill0816, KingWapo, TheCraftyPanda, JayKayxU, Nihilistic_Avocado, taenite, amongstravens, cpt_pancreas, HypatiaRising, play_the_puck, zolak, laku_, Fermet_, sleazemore, Mr-Thursday, Fuck-Moash, anisogramma, infinitylady89, X_Ravenfire, evilshindig, JATION, Redbirdfromtheeast, GeorgeMacDonald, Lagerbottoms, Nersevan, InspecteurCrouton, Fledgeledge, deadkeepteaching, Aetiusx, TheBunkDontSwim1983, jessyi24, saturday_night, haussarian, nauhel, thebloodynine85, Nighteyes89, Scyther99, LOSkills333, Son_of_Winterfell, Ashen_Heart, misterjinx878, spyrothedovah, ACardAttack, RamboTarzann, Karaeth, haaplo, rfgordon, IrnBruFiend, casssb, different_tan, Helfarch, lazyear, sedirep, ReadingNPlaying, Saalfin, goofy_mcgee, Hyzie, uhohmomspaghetti, bobd785, xLuthienx, ullsi, EmpressRey, PeaceFroger229, Raestagg, Jos_V, Barristan_the_Old, RyanToxopeus, TaborlintheGreat322, acexacid, Evangelon422, BLNelson, JMLP23, IGmobile, Helli784, baderl0ck, jalucard, Dig4Fire, wots77, LordKatakuri, happypolychaetes, tst619, blitzenbreath, KevinTitor, splaesh, ABAB0008, Absurdulon, Esbilon, ParanoidQ, Wheels630, Dr_Dangles, RevolutionaryCommand, FrankieFatHands, The_Octonion, StudentofGab, 9999squirrels, InexplicableMagic, WeDoNotSow, jship23, CHMonster, threeolives, swaindrous, Strider9122, midobal, KingKillerKvvothe, felinor12, LordofMoonsSpawn, The_Perfect_Nemesis, briargrey, Corey_actor, dwmmerrick, duckorgies, luwendrill, Arion_rufus, ajp1195, roninsb, mysterymachine08, rattatally, Mike-Dane, AManHasN0UserName, Gaylord_the_Edgelord, ADFTBA, CertifiedMentat, Istarial, Ansalem, dompidu, Bills25, SHWiMM, DalinarUnited, ehudsdagger, 4raser, MarkLawrence, ManicCetra, alchemie, Idunn12380, Grayriser, Kayzels, tkinsey3, Loltohru, AlecHutson, "
Wheel of Time ,Robert Jordan and Brandon Sanderson,139,"beldaran1224, crokus_n_al, Anderson_Dawes, BoneslyGrifter, Eldrene_Ay_Ellan, farstrid3r, timetwister, Nemesis_OfEvil, Larimo, Cubs017, PotatoQuie, Vatsdimri, StarlightEstel, SirBowTheNotSoGiant, Maudeitup, Mattyes, Esa1996, js52000, Sidion101, FleeetKeptRunning, lmason115, hubushnubah, Reasonable_Regret, Tur4, BattleBreeches, Croakers, no_ragrats, labchambers, aboyplayingdota, Akill0816, KingWapo, TheCraftyPanda, tarvolon, Nihilistic_Avocado, Kikanolo, Fearful_Leader, DreamweaveMirar, zolak, Stonelegs, odd2002night, potatoespuds, Fuck-Moash, infinitylady89, Redagain_xinc, X_Ravenfire, legomaniac89, TheBunkDontSwim1983, mygoldenfeces, jessyi24, saturday_night, erai91, Vinxii, BadgerMasher, Scyther99, _0_-o--__-0O_--oO0__, RamboTarzann, Hawk1138, theEolian, rfgordon, mangle89, xland44, IrnBruFiend, zagon2, lazyear, Hurinfan, Saalfin, Cloudh4t, bobd785, Cr1spy10, Raestagg, -Shuri-, mndrew, steppenfloyd, Barristan_the_Old, KcirderfSdrawkcab, TaborlintheGreat322, acexacid, BLNelson, WereTiggy, IGmobile, jalucard, Jierda175, wots77, tobias33, happypolychaetes, confusionsteephands, splaesh, Rudyralishaz, iceman012, howdy_im_jon, MLKdidnothingwrong, DukeFlate, ParanoidQ, Wheels630, Eladir, FrankieFatHands, Genabackan, PvogonJ, InexplicableMagic, jship23, celebrimbor2, Digger412, swaindrous, KeepCalmAndHodorOn, mrsmoo, HellaSober, Strider9122, KingKillerKvvothe, LordofMoonsSpawn, andrewssousa, Dakob, Ansalem, dompidu, ManicCetra, roninsb, Connyumbra, Huw402, jbatchen, lost_chayote, DalinarUnited, AManHasN0UserName, jymspaul, thewhitewoof, Istarial, ADFTBA, meltedtoast, luwendrill, Gaylord_the_Edgelord, KQRZN, duckorgies, Bills25, cornpenguin01, YellowTM, smittyphi, CertifiedMentat, Faithless232, Kayzels, StrizzyMizzy, tkinsey,"
Mistborn,Brandon Sanderson,126,"christiankeeney, 00dani3l, Nemesis_OfEvil, master6494, Woahno, wanemarr, PotatoQuie, Vatsdimri, SaltyBoyM, WombatHats, Fox9933, will_e_wonka, js52000, LordAncrath, Sidion101, lmason115, superdragonboyangel, ShadyMcShade1, Tur4, feralanima, TheSecondBest, no_ragrats, aboyplayingdota, KingWapo, TheCraftyPanda, andypeloquin, WitsDumbLuck, Kikanolo, peleles, HypatiaRising, speedchuck, Stonelegs, jljackson2, odd2002night, Jormunglycon, mms17, sleazemore, Extore, speakerforthe, derivative_of_life, Fuck-Moash, infinitylady89, Redagain_xinc, X_Ravenfire, evilshindig, Fledgeledge, D3athRider, Aetiusx, TheBunkDontSwim1983, mygoldenfeces, jessyi24, erai91, Vinxii, Nighteyes89, LOSkills333, Son_of_Winterfell, Asheweaver, ParanoidAndroid09, _0_-o--__-0O_--oO0__, misterjinx878, ACardAttack, mangle89, RWWare, spikyturtle87, lazyear, Hurinfan, xmaster001, Hyzie, bobd785, TheStig136, peyton_manhead, OKINGPAC, avfc_66, -Shuri-, No_Serenity, Meret123, acexacid, Evangelon422, WereTiggy, anna_k_s, LordKatakuri, tobias33, illkraz, tst619, marethyu316, im_so_not_creative, GreenSkyDragon, Mist_effin_born, Gregor__Eisenhorn, Shompta, MLKdidnothingwrong, mistymountainz, Dr_Dangles, hawkun, StudentofGab, soccerllama, jship23, swaindrous, KeepCalmAndHodorOn, Emospence, midobal, dogfoodtears, KingKillerKvvothe, LordofMoonsSpawn, DreaMorpheusSandman, Adrason, Dakob, AManHasN0UserName, iamteehee11, KNicol, CZero13, KQRZN, laurenhiya21, DalinarUnited, jymspaul, thewhitewoof, smittyphi, thisusernameismeta, CertifiedMentat, LightlyLantern, Kayzels, StrizzyMizzy, jbatchen, Lotronex, Mfanjos, Istarial, "
The Kingkiller Chronicles,Patrick Rothfuss,126,"dawnbot, 00dani3l, StrangerInAlps, chelsea_hotel7316, mattstodon53, Woahno, wanemarr, Vatsdimri, WombatHats, tonystank21, DimwitAlmighty, will_e_wonka, Sidion101, Olorin314, lindy133, lmason115, hubushnubah, XenRivers, Reasonable_Regret, Tur4, BattleBreeches, Auberron, hajakuja, TheSecondBest, labchambers, Akill0816, WitsDumbLuck, amongstravens, HypatiaRising, Authentic-Albion, play_the_puck, AmoronDonkeyballs, AngelDeath2, Fermet_, Extore, Mr-Thursday, Fuck-Moash, anisogramma, infinitylady89, Lagerbottoms, Nersevan, Fledgeledge, Aetiusx, TheBunkDontSwim1983, jessyi24, saturday_night, erai91, Vinxii, Nighteyes89, ParanoidAndroid09, _0_-o--__-0O_--oO0__, Karaeth, theEolian, rfgordon, mangle89, xland44, IrnBruFiend, Helfarch, struttersix, lazyear, sedirep, KKalonick, Saalfin, Cloudh4t, TheStig136, Cr1spy10, EmpressRey, PeaceFroger229, Barristan_the_Old, No_Serenity, TaborlintheGreat322, JMLP23, WereTiggy, Redlilymc, baderl0ck, niterunner1978, illkraz, LoniBana, tst619, KevinTitor, ObiShaunKenobi, splaesh, ABAB0008, BohemianPeasant, cherylgmail, mysterycookie333, Wheels630, Dr_Dangles, BubiBalboa, The_Octonion, Genabackan, soccerllama, swaindrous, Strider9122, midobal, KingKillerKvvothe, felinor12, andrewssousa, briargrey, MarkLawrence, jbatchen, Angus_McFife13, KNicol, Felisin_Paran, CZero13, SHWiMM, alchemie, Lotronex, StrizzyMizzy, aesir23, Faithless232, Dakob, Ansalem, Gaylord_the_Edgelord, jymspaul, Istarial, ADFTBA, ASIC_SP, MFanjos, randomcsplayer, Corey_Actor, YellowTM, BeardedMoon, duckorgies, luwendrill, ajp1195, "
First Law,Joe Abercrombie,116,"Anderson_Dawes, master6494, mattstodon53, Larimo, DivisionMatrix, OldschoolIsh, ammorris22, Cubs017, PotatoQuie, Vatsdimri, Cam27022, SaltyBoyM, tonystank21, Mattyes, CapNitro, MediocreLimo, LordAncrath, jo_ba, Olorin314, hubushnubah, superdragonboyangel, XenRivers, Tur4, feralanima, AccipiterF1, Alissa-, LordOfSwords, TheSecondBest, no_ragrats, librarylackey, aboyplayingdota, Akill0816, JayKayxU, peleles, amongstravens, Fimus86, cpt_pancreas, Asimov_800, Jormunglycon, sleazemore, pondandbucket, Fuck-Moash, infinitylady89, Redagain_xinc, JATION, Redbirdfromtheeast, legomaniac89, Aetiusx, haussarian, erai91, nauhel, thebloodynine85, Scyther99, Ashen_Heart, ParanoidAndroid09, _0_-o--__-0O_--oO0__, misterjinx878, ACardAttack, haaplo, mangle89, green_name, IrnBruFiend, casssb, josephdanielauthor, AngryCumbrian, Helfarch, MusubiKazesaru, struttersix, spikyturtle87, ReadingNPlaying, Krak2511, TheStig136, Paraframe, EmpressRey, PeaceFroger229, No_Serenity, acexacid, jalucard, wots77, LordKatakuri, tobias33, KevinTitor, ObiShaunKenobi, ABAB0008, kaahr, BohemianPeasant, Absurdulon, Eladir, RevolutionaryCommand, StudentofGab, soccerllama, 9999squirrels, threeolives, KeepCalmAndHodorOn, Swarlos262, dogfoodtears, KingKillerKvvothe, LordofMoonsSpawn, zebba_oz, dompidu, kjmichaels, Felisin_Paran, SHWiMM, tctippens, lost_chayote, compenguin01, duckorgies, Faithless232, StrizzyMizzy, Kayzels, LOLtohru, COnnyumbra, Huw402, Gaylord_the_Edgelord, UblalaPung78, tkihnsey3,"
Harry Potter,J.K. Rowling,113,"christiankeeney, beldaran1224, dawnbot, crokus_n_al, 00dani3l, StrangerInAlps, farstrid3r, master6494, mattstodon53, Woahno, Cubs017, Vatsdimri, SaltyBoyM, Maudeitup, tonystank21, DimwitAlmighty, js52000, Abelincononabear, Magoo451, Olorin314, lmason115, superdragonboyangel, XenRivers, nineteendoors, spinachdumpling, Darkcheesecake, hajakuja, TheSecondBest, aboyplayingdota, KingWapo, Wiron2, RubiscoTheGeek, taenite, Fearful_Leader, play_the_puck, speedchuck, Cedocore, Mr-Thursday, GeorgeMacDonald, Lagerbottoms, TheR2P2, Aetiusx, TheBunkDontSwim1983, nauhel, Asheweaver, _0_-o--__-0O_--oO0__, spyrothedovah, ACardAttack, RamboTarzann, theEolian, xland44, josephdanielauthor, MusubiKazesaru, spikyturtle87, sedirep, Saalfin, goofy_mcgee, Talas_Engineer, Krak2511, bobd785, TheStig136, Cr1spy10, ullsi, Barristan_the_Old, KcirderfSdrawkcab, No_Serenity, RyanToxopeus, acexacid, Evangelon422, BLNelson, Helli784, Dig4Fire, pbannard, LordKatakuri, happypolychaetes, tst619, KevinTitor, Shompta, KristinnK, ParanoidQ, Dr_Dangles, SmallFruitBat, FrankieFatHands, StudentofGab, PvogonJ, soccerllama, InexplicableMagic, jship23, swaindrous, KeepCalmAndHodorOn, Strider9122, midobal, dogfoodtears, KingKillerKvvothe, felinor12, andrewssousa, Tavarous, Kayzels, Ansalem, mysterymachine08, jbatchen, Corey_Actor, jymspaul, gufguf, ASIC_SP, CZero13, BiggerBetterFaster, kjmichaels, ajp1195, Lotronex, tkinsey3, MFanjos, YellowTM,"
Gentleman Bastard,Scott Lynch,108,"dawnbot, Anderson_Dawes, StrangerInAlps, farstrid3r, mattstodon53, Cubs017, PotatoQuie, WombatHats, MediocreLimo, LordAncrath, Olorin314, lmason115, Reasonable_Regret, sarric, Titan_Arum, aboyplayingdota, Akill0816, KingWapo, andypeloquin, Nihilistic_Avocado, WitsDumbLuck, RubiscoTheGeek, amongstravens, MistressBedlam, Authentic-Albion, laku_, Stonelegs, lordfarkle, UnstitchedStitch, AmoronDonkeyballs, mms17, Fermet_, Mr-Thursday, Redagain_xinc, evilshindig, Lagerbottoms, legomaniac89, jessyi24, nauhel, LOSkills333, Ashen_Heart, misterjinx878, ACardAttack, Phyrkrakr, Karaeth, haaplo, mangle89, casssb, josephdanielauthor, AngryCumbrian, Helfarch, struttersix, Cloudh4t, EmpressRey, PeaceFroger229, pyhnux, avfc_66, -Shuri-, Barristan_the_Old, TaborlintheGreat322, BLNelson, JMLP23, WereTiggy, IGmobile, pbro42, Helli784, baderl0ck, Jierda175, wots77, illkraz, confusionsteephands, KevinTitor, ObiShaunKenobi, splaesh, ABAB0008, iceman012, Gregor__Eisenhorn, mistymountainz, ParanoidQ, Wheels630, Dr_Dangles, misssim1, sesto_uncias, BubiBalboa, FrankieFatHands, StudentofGab, PvogonJ, Strider9122, dogfoodtears, LordofMoonsSpawn, The_Perfect_Nemesis, briargrey, improperly_paranoid, tctippens, dompidu, KNicol, sleeping-pug, KQRZN, 4raser, meltedtoast, StrizzyMizzy, cornpenguin01, LOLtohru, HalcyonDaysAreGone, Faithless232, Felisin_Paran, Skyrider006, CZero13,"
Discworld,Terry Pratchett,102,"navilo, BoneslyGrifter, ricree, chelsea_hotel7316, gfe98, SirBowTheNotSoGiant, Maudeitup, CapNitro, MediocreLimo, Abelincononabear, Sidion101, Manlir, superdragonboyangel, ShadyMcShade1, BattleBreeches, Auberron, librarylackey, Wiron2, andypeloquin, taenite, Fimus86, cpt_pancreas, Asimov_800, appocomaster, thebigredblob, play_the_puck, speedchuck, TheBeardyOnes, Fuck-Moash, UncleObli, infinitylady89, Mournelithe, legomaniac89, skavinger5882, BadgerMasher, lunchliege, ParanoidAndroid09, spyrothedovah, JimRJapan, RamboTarzann, Phyrkrakr, different_tan, AngryCumbrian, Hurinfan, xLuthienx, Paraframe, Szarka22, PeaceFroger229, pyhnux, Barristan_the_Old, KcirderfSdrawkcab, TaborlintheGreat322, Evangelon422, Destynie, vigasia, pbannard, anna_k_s, niterunner1978, blitzenbreath, kaahr, im_so_not_creative, Mist_effin_born, Gregor__Eisenhorn, Shompta, Absurdulon, MLKdidnothingwrong, theelbandito, ParanoidQ, celebrimbor2, KeepCalmAndHodorOn, HellaSober, dogfoodtears, zebba_oz, TRAIANVS, Grayriser, MrPeat, Megan_Dawn, BiggerBetterFaster, leftoverbrine, ManicCetra, gunttert, SmallishPlatypus, CMDR_Concubine, roninsb, valgranaire, CarolinaCM, Zunvect, barb4ry1, Felisin_Paran, randomcsplayer, SHWiMM, KQRZN, aesir23, The_Real_JS, bookfly, sailorfish27, Mike-Dane, keshanu, meltedtoast, Kayzels, dwmmerrick, gufguf, "
Realm of the Elderlings,Robin Hobb,96,"dawnbot, crokus_n_al, AdamRueth, ricree, WanderingWayfarer, chelsea_hotel7316, master6494, Cubs017, Vatsdimri, Cam27022, Maudeitup, Ihrenglass, Mattyes, lindy133, Reasonable_Regret, feralanima, nineteendoors, Titan_Arum, Croakers, Darkcheesecake, no_ragrats, labchambers, peleles, niko-no-tabi, DreamweaveMirar, Authentic-Albion, thebigredblob, play_the_puck, zolak, odd2002night, ayaneeda, Fermet_, Extore, Kyrenox, Fuck-Moash, infinitylady89, evilshindig, Redbirdfromtheeast, Fledgeledge, D3athRider, TheR2P2, deadkeepteaching, TheBunkDontSwim1983, haussarian, erai91, Nighteyes89, spyrothedovah, xland44, MatrimPaendrag, casssb, different_tan, Helfarch, MusubiKazesaru, struttersix, RWWare, goofy_mcgee, Cloudh4t, uhohmomspaghetti, bobd785, peyton_manhead, ullsi, EmpressRey, steppenfloyd, KcirderfSdrawkcab, Meret123, BLNelson, IGmobile, pbro42, Helli784, baderl0ck, Dig4Fire, anna_k_s, wots77, splaesh, BohemianPeasant, Wheels630, Genabackan, The_Perfect_Nemesis, TRAIANVS, MarkLawrence, BeardedMoon, SharadeReads, luwendrill, gunttert, shadownight311, CarolinaCM, astarinel, Felisin_Paran, tctippens, bookfly, cornpenguin01, AManHasN0UserName, alchemie, Faithless232, Lotronex, tkinsey,"
Malazan,Steven Erikson and Ian Esslemont,95,"crokus_n_al, Anderson_Dawes, BoneslyGrifter, master6494, onrack, farstrid3r, gfe98, DivisionMatrix, wanemarr, ammorris22, PotatoQuie, Cam27022, Esa1996, MediocreLimo, LordAncrath, Abelincononabear, lmason115, hubushnubah, RobBobGlove, Alissa-, Croakers, LordOfSwords, hajakuja, no_ragrats, aboyplayingdota, Kikanolo, Asimov_800, Jormunglycon, Fermet_, Mournelithe, evilshindig, Lagerbottoms, InspecteurCrouton, deadkeepteaching, legomaniac89, haussarian, Vinxii, thebloodynine85, cainthevaliant, Ashen_Heart, misterjinx878, Adrason, zebba_oz, TRAIANVS, 4raser, robinsb, valgranaire, LauraDragonchild, antigrapist, Bills25, Huw402, Felisin_Paran, KQRZN, GarrickWinter, HalcyonDaysAreGone, DalinarUnited, Faithless232, ADFTBA, meltedtoast, green_name, MatrimPaendrag, casssb, AngryCumbrian, Helfarch, Hurinfan, Saalfin, bobd785, xLuthienx, Szarka22, PeaceFroger229, Raestagg, -Shuri-, Jos_V, IGmobile, Destynie, vigasia, Jierda175, LordKatakuri, Herz_Frequency, splaesh, Rudyralishaz, howdy_im_jon, BohemianPeasant, MLKdidnothingwrong, RevolutionaryCommand, 9999squirrels, jship23, Digger412, SpherrY, KingKillerKvvothe, LordofMoonsSpawn, andrewssousa, UblalaPung78, LOLtohru, roninsb, "
Riyria Chronicles,Michael J Sullivan,73,"dawnbot, StrangerInAlps, Nemesis_OfEvil, master6494, Fox9933, lindy133, mantrasong, SceptileTheReptile, Titan_Arum, no_ragrats, andypeloquin, appocomaster, Stonelegs, odd2002night, mms17, sleazemore, Fledgeledge, legomaniac89, mygoldenfeces, saturday_night, Vinxii, skavinger5882, Scyther99, Ashen_Heart, misterjinx878, spyrothedovah, Hawk1138, casssb, AngryCumbrian, ReadingNPlaying, KKalonick, TheStig136, avfc_66, -Shuri-, No_Serenity, JMLP23, WereTiggy, IGmobile, Redlilymc, pbro42, pbannard, tobias33, happypolychaetes, marethyu316, splaesh, ABAB0008, cherylgmail, GreenSkyDragon, DukeFlate, Wheels630, Dr_Dangles, BubiBalboa, StudentofGab, PvogonJ, KingKillerKvvothe, Skyrider006, gufguf, laurenhiya21, ASIC_SP, iamteehee8, BeardedMoon, unplugtheminus84, lost_chayote, UblalaPung78, lordfarkle, X_Ravenfire, Hyzie, vigasia, Absurdulon, mysterycookie333, mistymountainz, midobal, UblalaPung78,"
The Dresden Files,Jim Butcher,65,"xetrov, StrangerInAlps, jddennis, Cam27022, JackYAqua, CapNitro, Sidion101, Manlir, ShadyMcShade1, mantrasong, hajakuja, TheSecondBest, Fimus86, DreamweaveMirar, appocomaster, speedchuck, Stonelegs, Jormunglycon, Cedocore, Mournelithe, skavinger5882, lunchliege, _0_-o--__-0O_--oO0__, IrnBruFiend, josephdanielauthor, MusubiKazesaru, Hurinfan, ReadingNPlaying, bobd785, Cr1spy10, Paraframe, Szarka22, pyhnux, -Shuri-, boc1892, StrawbIchigo, TaborlintheGreat322, Redlilymc, Jierda175, tobias33, blitzenbreath, splaesh, Rudyralishaz, iceman012, theelbandito, hawkun, sesto_uncias, BubiBalboa, PvogonJ, threeolives, chuckusmaximus, HellaSober, kjmichaels, barb4ry1, tctippens, smittyphi, StrizzyMizzy, Lotronex, 4raser, GarbagePailKid90, Connyumbra, KQRZN, BeardedMoon, jymspaul, LOLtohru, "
